x0,x1,x2,x3,y
-212.0,-111.0,112.0,-161.0,0
20.0,60.0,-409.0,134.0,0
-335.0,-58.0,-287.0,-223.0,0
-142.0,-84.0,-333.0,-368.0,0
29.0,-283.0,98.0,-470.0,0
-54.0,-264.0,106.0,-178.0,0
-136.0,-386.0,-220.0,-216.0,0
-162.0,-316.0,167.0,32.0,0
-298.0,-367.0,-115.0,-55.0,0
-178.0,-140.0,-152.0,-408.0,0
-172.0,125.0,-48.0,-486.0,0
-453.0,-123.0,-429.0,-20.0,0
-210.0,-64.0,13.0,-45.0,0
-311.0,-422.0,-322.0,-491.0,0
-401.0,-226.0,-421.0,72.0,0
-95.0,-450.0,-107.0,-208.0,0
116.0,-79.0,22.0,-301.0,0
114.0,68.0,-486.0,-486.0,0
137.0,-450.0,-403.0,-436.0,0
-493.0,-426.0,-405.0,-190.0,0
-306.0,-435.0,-263.0,-437.0,0
-37.0,126.0,2.0,19.0,0
-242.0,-362.0,130.0,-152.0,0
177.0,-465.0,-32.0,-97.0,0
-150.0,-490.0,43.0,-317.0,0
-79.0,-370.0,-471.0,-57.0,0
-198.0,-229.0,-319.0,-349.0,0
-216.0,-327.0,172.0,-247.0,0
-463.0,-483.0,-430.0,148.0,0
-466.0,-475.0,-439.0,-4.0,0
-347.0,-363.0,171.0,-54.0,0
-126.0,-410.0,-345.0,-396.0,0
153.0,-268.0,-229.0,-337.0,0
-473.0,-102.0,-258.0,-500.0,0
19.0,-81.0,35.0,-8.0,0
-43.0,-283.0,-162.0,-319.0,0
165.0,66.0,-495.0,-306.0,0
188.0,20.0,-408.0,16.0,0
25.0,-254.0,-106.0,88.0,0
-83.0,-494.0,95.0,-121.0,0
67.0,113.0,88.0,-403.0,0
-368.0,-277.0,-16.0,-237.0,0
-213.0,53.0,145.0,-411.0,0
-463.0,-191.0,-159.0,128.0,0
163.0,-115.0,-407.0,6.0,0
148.0,-360.0,-422.0,108.0,0
-437.0,168.0,125.0,-74.0,0
-327.0,-219.0,-358.0,-377.0,0
-287.0,34.0,8.0,-89.0,0
-30.0,-271.0,60.0,-294.0,0
-449.0,-131.0,-144.0,-425.0,0
34.0,-161.0,2.0,-316.0,0
-376.0,-112.0,-4.0,-149.0,0
-333.0,52.0,-12.0,133.0,0
-309.0,199.0,120.0,-16.0,0
36.0,-322.0,-381.0,-87.0,0
-279.0,-340.0,-375.0,14.0,0
-331.0,-225.0,112.0,142.0,0
181.0,-441.0,100.0,-120.0,0
-451.0,-93.0,-147.0,-391.0,0
-24.0,-305.0,135.0,-125.0,0
-493.0,146.0,128.0,-159.0,0
-444.0,-475.0,-292.0,5.0,0
-497.0,-281.0,121.0,-386.0,0
125.0,-307.0,-104.0,-108.0,0
-78.0,-357.0,27.0,-415.0,0
-84.0,164.0,-411.0,-368.0,0
-122.0,53.0,-448.0,-279.0,0
-181.0,33.0,116.0,-158.0,0
-344.0,-105.0,49.0,138.0,0
169.0,-354.0,-89.0,-194.0,0
129.0,53.0,-128.0,-380.0,0
-430.0,200.0,59.0,75.0,0
118.0,-195.0,-104.0,-351.0,0
168.0,140.0,-205.0,-193.0,0
-327.0,-122.0,-113.0,-233.0,0
-79.0,-314.0,59.0,-494.0,0
29.0,23.0,-269.0,-226.0,0
33.0,-294.0,-58.0,-173.0,0
-190.0,-122.0,-90.0,53.0,0
-470.0,-320.0,-35.0,-363.0,0
-79.0,-110.0,86.0,-440.0,0
-45.0,-216.0,-173.0,-20.0,0
-453.0,57.0,149.0,46.0,0
-461.0,67.0,-428.0,-330.0,0
-163.0,-270.0,-11.0,92.0,0
-493.0,19.0,46.0,-226.0,0
-269.0,-188.0,-321.0,-308.0,0
-92.0,21.0,-10.0,-79.0,0
-5.0,172.0,72.0,58.0,0
-147.0,-334.0,-337.0,-170.0,0
-292.0,48.0,-54.0,-300.0,0
-197.0,-144.0,187.0,-17.0,0
-443.0,-291.0,-199.0,-48.0,0
-131.0,180.0,150.0,-167.0,0
-396.0,37.0,-77.0,-292.0,0
76.0,-66.0,110.0,-231.0,0
90.0,-407.0,128.0,-484.0,0
42.0,-176.0,-182.0,-387.0,0
-324.0,-159.0,77.0,43.0,0
-228.0,-85.0,-187.0,193.0,0
-440.0,-497.0,146.0,-258.0,0
-456.0,-458.0,-164.0,-32.0,0
-466.0,-474.0,-378.0,91.0,0
-109.0,-65.0,43.0,-78.0,0
-301.0,-204.0,-7.0,-197.0,0
31.0,101.0,59.0,-425.0,0
-30.0,108.0,-409.0,173.0,0
-498.0,37.0,-110.0,-2.0,0
98.0,-61.0,-230.0,-99.0,0
130.0,28.0,-321.0,-129.0,0
-412.0,-8.0,-498.0,59.0,0
-489.0,-273.0,19.0,-28.0,0
118.0,-89.0,37.0,-112.0,0
3.0,-340.0,-365.0,168.0,0
-466.0,-394.0,141.0,-193.0,0
119.0,-380.0,103.0,86.0,0
-97.0,55.0,-155.0,-428.0,0
-331.0,-201.0,158.0,-38.0,0
-453.0,-190.0,-255.0,41.0,0
-38.0,-138.0,-109.0,-94.0,0
-245.0,-233.0,-12.0,-134.0,0
-236.0,-44.0,94.0,-136.0,0
-446.0,-321.0,149.0,1.0,0
52.0,93.0,-471.0,-207.0,0
-379.0,-83.0,22.0,81.0,0
-382.0,-169.0,-269.0,-285.0,0
-75.0,-256.0,62.0,-200.0,0
-126.0,145.0,-429.0,195.0,0
96.0,-395.0,37.0,-381.0,0
6.0,-344.0,3.0,-499.0,0
-171.0,-424.0,-38.0,-389.0,0
-240.0,152.0,152.0,-445.0,0
-297.0,-359.0,83.0,-12.0,0
-182.0,-137.0,-60.0,-410.0,0
-343.0,-321.0,-294.0,-322.0,0
89.0,-338.0,-329.0,-169.0,0
-484.0,-371.0,-5.0,-74.0,0
178.0,-175.0,100.0,-312.0,0
166.0,-291.0,-211.0,-321.0,0
116.0,-162.0,-286.0,35.0,0
-65.0,72.0,-54.0,-334.0,0
-354.0,-166.0,137.0,-213.0,0
-497.0,-103.0,-81.0,-72.0,0
196.0,-212.0,-500.0,-141.0,0
135.0,-448.0,48.0,37.0,0
192.0,-208.0,130.0,-364.0,0
-340.0,-226.0,-257.0,-210.0,0
-277.0,-68.0,-96.0,89.0,0
-280.0,-154.0,104.0,-448.0,0
-119.0,113.0,-386.0,-344.0,0
-42.0,102.0,-331.0,-385.0,0
-95.0,-309.0,-418.0,42.0,0
-40.0,120.0,-118.0,-340.0,0
-338.0,-27.0,78.0,-82.0,0
72.0,-206.0,-82.0,55.0,0
-277.0,26.0,-64.0,27.0,0
-150.0,13.0,-305.0,-42.0,0
-406.0,-98.0,79.0,192.0,0
-297.0,-161.0,197.0,-222.0,0
-321.0,36.0,-201.0,-82.0,0
-292.0,-137.0,198.0,-456.0,0
-232.0,-402.0,-314.0,-362.0,0
-193.0,-243.0,149.0,188.0,0
35.0,-327.0,34.0,-388.0,0
137.0,-40.0,-127.0,-55.0,0
-221.0,183.0,-412.0,-173.0,0
-192.0,108.0,-60.0,11.0,0
-176.0,-86.0,-193.0,-118.0,0
130.0,-257.0,-466.0,179.0,0
-155.0,-125.0,-53.0,-316.0,0
-22.0,-267.0,-324.0,120.0,0
-375.0,-116.0,88.0,-336.0,0
-33.0,-48.0,-221.0,183.0,0
-135.0,-292.0,-370.0,23.0,0
-321.0,-499.0,-325.0,-294.0,0
-73.0,-276.0,-155.0,-40.0,0
151.0,-201.0,52.0,-60.0,0
173.0,-333.0,-119.0,178.0,0
-255.0,-224.0,-162.0,137.0,0
-41.0,-93.0,-301.0,-370.0,0
-370.0,-343.0,-331.0,-241.0,0
-118.0,9.0,-390.0,123.0,0
-116.0,-463.0,37.0,-469.0,0
-488.0,-49.0,-307.0,-30.0,0
-256.0,193.0,-277.0,-227.0,0
99.0,-357.0,-375.0,-412.0,0
124.0,-240.0,-18.0,162.0,0
-22.0,-265.0,-161.0,-215.0,0
-113.0,-438.0,-115.0,35.0,0
61.0,-343.0,-212.0,183.0,0
72.0,63.0,-313.0,37.0,0
94.0,-36.0,-159.0,71.0,0
-115.0,5.0,-232.0,4.0,0
-63.0,-407.0,-82.0,-121.0,0
-122.0,-27.0,-85.0,-218.0,0
-199.0,-235.0,-423.0,-463.0,0
67.0,-222.0,-171.0,-484.0,0
-272.0,-74.0,-465.0,-390.0,0
27.0,-129.0,-130.0,101.0,0
-436.0,-253.0,-367.0,-150.0,0
-58.0,-227.0,-369.0,-318.0,0
-49.0,-46.0,-148.0,-386.0,0
-373.0,-36.0,-147.0,-49.0,0
-247.0,79.0,-72.0,-270.0,0
81.0,-356.0,-201.0,-111.0,0
90.0,-136.0,-322.0,-153.0,0
-25.0,174.0,-309.0,-338.0,0
-311.0,65.0,-110.0,-300.0,0
-266.0,163.0,-221.0,-17.0,0
95.0,-381.0,154.0,165.0,0
-277.0,68.0,-164.0,68.0,0
-281.0,31.0,-158.0,115.0,0
-480.0,-122.0,-117.0,79.0,0
-470.0,-49.0,-97.0,-253.0,0
-424.0,-21.0,149.0,-170.0,0
-173.0,-268.0,5.0,-429.0,0
35.0,-212.0,59.0,-478.0,0
-77.0,-11.0,-4.0,-96.0,0
153.0,-326.0,-154.0,-261.0,0
-91.0,-44.0,-198.0,-45.0,0
-310.0,8.0,-60.0,-87.0,0
160.0,-81.0,47.0,5.0,0
37.0,-373.0,184.0,-68.0,0
-175.0,-192.0,154.0,-122.0,0
154.0,-54.0,-388.0,93.0,0
-446.0,173.0,-328.0,-143.0,0
-76.0,-345.0,155.0,-407.0,0
-287.0,-417.0,119.0,-181.0,0
-166.0,-43.0,-378.0,-277.0,0
79.0,-278.0,-437.0,-211.0,0
-345.0,99.0,-171.0,-219.0,0
-153.0,-428.0,8.0,-16.0,0
-39.0,58.0,27.0,-61.0,0
-441.0,41.0,-146.0,130.0,0
58.0,-490.0,142.0,51.0,0
-261.0,-73.0,-323.0,-158.0,0
-105.0,-16.0,188.0,-6.0,0
-447.0,-404.0,-79.0,-471.0,0
-273.0,-241.0,85.0,-105.0,0
-344.0,148.0,-397.0,179.0,0
-223.0,-186.0,-37.0,-279.0,0
155.0,-302.0,-6.0,21.0,0
-191.0,-483.0,-72.0,-495.0,0
-212.0,-125.0,-249.0,87.0,0
137.0,-133.0,-93.0,175.0,0
193.0,-234.0,-432.0,43.0,0
-416.0,-389.0,-287.0,21.0,0
-24.0,-402.0,-69.0,-236.0,0
-85.0,76.0,126.0,141.0,0
59.0,-423.0,-302.0,170.0,0
-21.0,-125.0,-129.0,-496.0,0
-144.0,-121.0,40.0,-334.0,0
-384.0,-353.0,95.0,-48.0,0
73.0,-383.0,-500.0,6.0,0
-275.0,140.0,-234.0,-328.0,0
142.0,-177.0,60.0,-469.0,0
-156.0,-378.0,-277.0,19.0,0
25.0,-232.0,-404.0,87.0,0
168.0,-167.0,23.0,-225.0,0
109.0,-157.0,-247.0,76.0,0
-228.0,-251.0,67.0,-420.0,0
183.0,-189.0,-237.0,-53.0,0
19.0,63.0,-192.0,184.0,0
-261.0,-104.0,-75.0,-313.0,0
-25.0,80.0,38.0,-427.0,0
-140.0,-294.0,-224.0,-9.0,0
83.0,-277.0,-391.0,-66.0,0
159.0,-170.0,-269.0,-463.0,0
-147.0,-320.0,,-443.0,0
103.0,-153.0,176.0,67.0,0
-33.0,-308.0,123.0,177.0,0
-88.0,112.0,-314.0,-489.0,0
151.0,-85.0,-375.0,-147.0,0
-283.0,184.0,137.0,-274.0,0
-193.0,-430.0,-253.0,-364.0,0
-288.0,53.0,100.0,-138.0,0
-323.0,-456.0,98.0,-343.0,0
-254.0,-185.0,-327.0,-480.0,0
-285.0,-426.0,-483.0,-59.0,0
-195.0,-244.0,-295.0,-144.0,0
-184.0,-443.0,60.0,-85.0,0
-319.0,-60.0,-216.0,166.0,0
5.0,-202.0,-427.0,29.0,0
-223.0,-46.0,-408.0,-140.0,0
188.0,-371.0,37.0,-283.0,0
-393.0,-240.0,-83.0,-116.0,0
-364.0,-114.0,156.0,-94.0,0
-158.0,-106.0,67.0,-295.0,0
73.0,80.0,-153.0,-373.0,0
-394.0,134.0,-386.0,181.0,0
-141.0,-436.0,65.0,-164.0,0
81.0,1.0,-278.0,-286.0,0
-236.0,-347.0,82.0,10.0,0
23.0,12.0,-439.0,64.0,0
-27.0,-55.0,-311.0,-324.0,0
159.0,145.0,-154.0,-1.0,0
-207.0,-104.0,-79.0,117.0,0
168.0,-261.0,-260.0,-354.0,0
-116.0,-52.0,-393.0,-140.0,0
25.0,-37.0,-239.0,-252.0,0
-153.0,166.0,71.0,-143.0,0
-319.0,-61.0,-15.0,-129.0,0
-342.0,-267.0,-274.0,-473.0,0
-218.0,-126.0,142.0,-254.0,0
-203.0,-171.0,-484.0,-144.0,0
-427.0,197.0,-119.0,-481.0,0
176.0,84.0,126.0,-483.0,0
-475.0,151.0,64.0,54.0,0
-211.0,81.0,-235.0,7.0,0
-293.0,-385.0,-30.0,-365.0,0
-423.0,191.0,141.0,-460.0,0
194.0,-455.0,-363.0,45.0,0
-224.0,31.0,-273.0,-345.0,0
-384.0,-276.0,-141.0,-188.0,0
59.0,-171.0,-296.0,-153.0,0
-459.0,-404.0,82.0,-37.0,0
-491.0,-138.0,127.0,-69.0,0
-87.0,-247.0,-272.0,-358.0,0
-211.0,101.0,-31.0,193.0,0
-392.0,-354.0,-484.0,-42.0,0
-400.0,-178.0,58.0,-17.0,0
82.0,194.0,60.0,-159.0,0
-264.0,-253.0,-30.0,-71.0,0
-443.0,-291.0,161.0,-30.0,0
-107.0,-155.0,-419.0,-104.0,0
96.0,-431.0,-417.0,-37.0,0
-378.0,100.0,99.0,-363.0,0
-96.0,59.0,-391.0,-21.0,0
-286.0,-435.0,24.0,-54.0,0
-380.0,-195.0,-382.0,-331.0,0
-276.0,-400.0,-327.0,-384.0,0
-39.0,-359.0,-249.0,-26.0,0
-49.0,-154.0,28.0,-251.0,0
-246.0,-136.0,-451.0,-226.0,0
91.0,-285.0,-375.0,97.0,0
11.0,38.0,-327.0,-65.0,0
-271.0,-115.0,-34.0,145.0,0
67.0,-73.0,-18.0,102.0,0
-123.0,-457.0,85.0,-324.0,0
-15.0,-381.0,-174.0,-477.0,0
-34.0,192.0,-467.0,-5.0,0
-205.0,-308.0,103.0,-393.0,0
7.0,-404.0,-59.0,93.0,0
-310.0,-264.0,-154.0,-152.0,0
159.0,-133.0,-349.0,-183.0,0
-205.0,-315.0,-469.0,-374.0,0
-90.0,-197.0,-466.0,-445.0,0
-393.0,110.0,-389.0,-120.0,0
-271.0,-493.0,-400.0,-178.0,0
126.0,55.0,130.0,-344.0,0
-134.0,63.0,-237.0,-398.0,0
-429.0,-344.0,-266.0,-396.0,0
0.0,-179.0,-18.0,-279.0,0
-36.0,-248.0,135.0,122.0,0
191.0,-45.0,-434.0,-87.0,1
154.0,-254.0,-480.0,30.0,0
-146.0,-472.0,-141.0,79.0,0
-382.0,-212.0,-402.0,105.0,0
-284.0,-380.0,-100.0,-354.0,0
-408.0,-463.0,-334.0,-162.0,0
-144.0,22.0,-23.0,-454.0,0
60.0,-456.0,-74.0,-351.0,0
-496.0,-2.0,-349.0,-266.0,0
-129.0,182.0,-328.0,-335.0,0
-290.0,-118.0,-287.0,125.0,0
98.0,67.0,-318.0,-282.0,0
-239.0,-304.0,22.0,-153.0,0
96.0,-6.0,-306.0,-20.0,0
-240.0,-433.0,-369.0,-100.0,0
59.0,-178.0,117.0,8.0,0
-153.0,48.0,149.0,-418.0,0
-213.0,-205.0,-93.0,-92.0,0
-303.0,-390.0,-333.0,-227.0,0
-248.0,-486.0,-299.0,-470.0,0
-104.0,-441.0,-331.0,-179.0,0
-203.0,-278.0,-104.0,-119.0,0
-74.0,68.0,-94.0,-369.0,0
-113.0,-27.0,-410.0,-287.0,0
-13.0,-207.0,-298.0,108.0,0
-440.0,-363.0,-256.0,34.0,0
3.0,155.0,177.0,-107.0,0
-213.0,-494.0,-251.0,-491.0,0
167.0,-328.0,-174.0,-274.0,0
9.0,-199.0,29.0,-61.0,0
-28.0,-450.0,-430.0,175.0,0
-281.0,134.0,166.0,134.0,0
-267.0,-418.0,-364.0,103.0,0
-134.0,-381.0,-124.0,-107.0,0
180.0,161.0,35.0,-420.0,0
-236.0,173.0,-246.0,163.0,0
56.0,-178.0,161.0,172.0,0
-237.0,-312.0,-378.0,-497.0,0
-457.0,-89.0,-296.0,-133.0,0
-224.0,-272.0,192.0,-231.0,0
-4.0,-65.0,-166.0,-212.0,0
-439.0,-302.0,-178.0,33.0,0
-175.0,-266.0,177.0,-425.0,0
-285.0,-357.0,88.0,-325.0,0
2.0,-469.0,-357.0,-446.0,0
-451.0,32.0,-284.0,189.0,0
-238.0,-163.0,-448.0,143.0,0
-411.0,152.0,-36.0,-412.0,0
33.0,57.0,-301.0,-487.0,0
-243.0,93.0,-269.0,172.0,0
-281.0,124.0,-71.0,-255.0,0
-294.0,-237.0,-130.0,-338.0,0
176.0,-90.0,152.0,-133.0,0
-210.0,-384.0,-214.0,-333.0,0
-382.0,-143.0,-397.0,-479.0,0
-137.0,-258.0,118.0,151.0,0
65.0,-77.0,-315.0,12.0,0
-232.0,-210.0,-224.0,79.0,0
-232.0,-313.0,-378.0,-81.0,0
-322.0,-298.0,-270.0,-176.0,0
-88.0,40.0,-68.0,-249.0,0
95.0,-440.0,-47.0,73.0,0
-37.0,-88.0,-302.0,80.0,0
-34.0,-52.0,-272.0,-266.0,0
-50.0,-7.0,-309.0,61.0,0
-249.0,-81.0,-31.0,-142.0,0
196.0,-103.0,169.0,-129.0,0
-67.0,78.0,-51.0,158.0,0
-319.0,9.0,83.0,-401.0,0
21.0,-342.0,-477.0,-274.0,0
-396.0,-199.0,38.0,-21.0,0
-481.0,-5.0,-380.0,-275.0,0
-410.0,157.0,-389.0,170.0,0
-243.0,-451.0,-165.0,-499.0,0
-457.0,-299.0,13.0,-128.0,0
10.0,-329.0,120.0,49.0,0
-170.0,-227.0,-339.0,186.0,0
-54.0,-395.0,-98.0,-139.0,0
-68.0,-38.0,-79.0,-25.0,0
-411.0,-136.0,-143.0,127.0,0
-42.0,-456.0,-289.0,52.0,0
-83.0,159.0,-304.0,52.0,0
-97.0,-26.0,98.0,85.0,0
-152.0,-460.0,-48.0,-211.0,0
-175.0,-30.0,-138.0,165.0,0
135.0,-345.0,54.0,-180.0,0
-322.0,-345.0,-209.0,-37.0,0
-126.0,-394.0,-98.0,-108.0,0
62.0,-218.0,-52.0,38.0,0
22.0,198.0,-381.0,52.0,0
-381.0,-380.0,-257.0,-251.0,0
-139.0,-71.0,-23.0,-341.0,0
-67.0,-292.0,-322.0,-32.0,0
-96.0,23.0,-209.0,-161.0,0
-121.0,-104.0,-46.0,-331.0,0
109.0,-144.0,-100.0,75.0,0
-298.0,-202.0,-183.0,-180.0,0
53.0,64.0,-231.0,-42.0,0
127.0,-267.0,-351.0,-146.0,1
124.0,-228.0,-325.0,-186.0,0
-4.0,-240.0,-50.0,-292.0,0
-135.0,-111.0,-460.0,-352.0,0
-278.0,-494.0,60.0,102.0,0
12.0,-296.0,-430.0,-206.0,0
-313.0,93.0,167.0,-428.0,0
-318.0,-45.0,-491.0,-375.0,0
-91.0,-418.0,-56.0,13.0,0
121.0,-147.0,126.0,-293.0,0
104.0,123.0,-71.0,-352.0,0
-69.0,-409.0,-455.0,-220.0,0
73.0,-74.0,-348.0,79.0,0
144.0,-331.0,-199.0,156.0,0
-48.0,-147.0,-450.0,-412.0,0
46.0,196.0,-420.0,-16.0,0
-75.0,54.0,126.0,155.0,0
-104.0,159.0,34.0,-265.0,0
-227.0,-40.0,-376.0,116.0,0
-22.0,-228.0,-464.0,-499.0,0
82.0,-374.0,-221.0,-384.0,0
26.0,-361.0,-53.0,27.0,0
-52.0,44.0,-280.0,79.0,0
